"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
1,"1","2023-07-21T15:17:35.682550Z",1,"/data/upload/1/e9f951be-Frame_2.jpg","[{""x"":38.20033955857385,""y"":34.38030560271647,""width"":9.16808149405773,""height"":12.274413632647928,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",65.307,"2023-07-21T15:17:35.682589Z"
2,"1","2023-07-21T15:18:47.531398Z",2,"/data/upload/1/30950d4f-Frame_3.jpg","[{""x"":33.901192504258944,""y"":31.8758281279576,""width"":10.477001703577514,""height"":14.461480219572213,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",71.13,"2023-07-21T15:18:47.531437Z"
3,"1","2023-07-21T15:19:12.087118Z",3,"/data/upload/1/e1f644e5-Frame_4.jpg","[{""x"":35.77512776831346,""y"":31.27011167897028,""width"":11.201022146507661,""height"":15.142911224682948,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",23.981,"2023-07-21T15:19:12.087154Z"
4,"1","2023-07-21T15:28:58.974447Z",4,"/data/upload/1/01ef89c1-Frame_5.jpg","[{""x"":45.86882453151618,""y"":38.23585084232444,""width"":7.793867120954005,""height"":11.130039750141961,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":86.0732538330494,""y"":8.700595687817406,""width"":5.536626916524703,""height"":3.558584137800494,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",586.395,"2023-07-21T15:28:58.974488Z"
5,"1","2023-07-21T15:29:24.811940Z",5,"/data/upload/1/29365b16-Frame_6.jpg","[{""x"":45.817490494296564,""y"":37.684833122095455,""width"":8.365019011406853,""height"":11.830533517030865,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",25.332,"2023-07-21T15:29:24.811977Z"
6,"1","2023-07-21T15:29:49.510584Z",6,"/data/upload/1/ecb4c860-Frame_7.jpg","[{""x"":52.661596958174904,""y"":35.14997887621462,""width"":8.555133079847913,""height"":12.505280946345586,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",24.176,"2023-07-21T15:29:49.510620Z"
7,"1","2023-07-21T15:30:01.585555Z",7,"/data/upload/1/39af2b09-Frame_8.jpg","[{""x"":39.638783269961976,""y"":32.78411491339248,""width"":9.9809885931559,""height"":13.350232361639208,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",11.568,"2023-07-21T15:30:01.585592Z"
8,"1","2023-07-21T15:30:11.465544Z",8,"/data/upload/1/4768b2f4-Frame_9.jpg","[{""x"":43.155893536121674,""y"":31.26320236586396,""width"":11.50190114068441,""height"":15.040135192226444,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",9.363,"2023-07-21T15:30:11.465581Z"
9,"1","2023-07-21T15:30:20.977837Z",9,"/data/upload/1/ae77df79-Frame_10.jpg","[{""x"":36.59695817490494,""y"":28.22137727080693,""width"":15.019011406844115,""height"":21.123785382340518,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",9.041,"2023-07-21T15:30:20.977875Z"
10,"1","2023-07-21T15:30:29.009927Z",10,"/data/upload/1/2dab5027-Frame_11.jpg","[{""x"":36.02661596958175,""y"":20.616814533164344,""width"":21.197718631178702,""height"":27.207435572454585,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",7.503,"2023-07-21T15:30:29.009966Z"
